,0
0,0.7663367999999959
1,23.674176900000003
2,32.4483069
3,-9.646460499999998
4,25.528036999999998
5,-13.561993100000002
6,24.201678500000003
7,30.0030018
8,19.371289799999992
9,-9.0300613
10,30.204105600000002
11,10.122753099999994
12,21.327304000000005
13,19.236745300000006
14,24.787327199999993
15,24.04186750000001
16,-13.671143899999997
17,-38.309996500000004
18,37.279827700000006
19,16.829820299999994
20,-0.755173200000004
21,-39.3697466
22,-9.07531560000001
23,19.961103899999994
24,20.578916900000003
25,64.22323419999998
26,18.959622699999994
27,17.484774500000018
28,8.334976999999999
29,47.4952523
30,58.731740400000014
31,-30.518557599999994
32,21.92268399999999
33,-12.575769400000016
34,7.8604594999999975
35,-44.59926140000001
36,16.7856997
37,6.910086900000007
38,-23.14013930000001
39,-14.468408499999994
40,29.403751099999987
41,-74.89042809999998
42,-133.8640421
43,-45.5853694
44,-330.5398107
45,-39.01926649999999
46,-7.877424700000003
47,157.24999380000003
48,-10.0923489
49,22.488472800000004
50,-20.885789200000012
51,-61.679881699999996
52,15.7155081
53,-26.9681348
54,-31.4500448
55,-86.19796320000002
56,9.419731799999997
57,-11.367151199999991
58,-22.747142899999993
59,3.462818300000011
60,6.910987499999997
61,23.55345049999999
62,6.5784935999999865
63,6.5497020000000035
64,-3.008600099999998
65,67.35654920000002
66,22.42706609999999
67,-34.62406609999999
68,8.95132910000001
69,6.131365499999995
70,2.9244051000000035
71,-4.947608600000001
72,-0.40087269999999986
73,11.06532249999999
74,17.08417320000001
75,-2.8544774000000057
76,-8.429962700000003
77,-355.7873262
78,-64.5038883
79,-85.9674733
80,-134.06410249999996
81,-9.83276390000001
82,-105.43988069999999
83,85.68991000000001
84,16.7729195
85,16.46668380000001
86,18.74498180000001
87,21.951201700000006
88,22.196092099999998
89,-2.068295000000001
90,29.418438200000008
91,22.70842040000001
92,27.923231
93,9.761662399999995
94,19.594567400000003
95,18.31527549999999
96,22.3398131
97,10.6656554
98,18.3832745
99,19.262098
100,20.821250299999996
101,28.654176000000003
102,20.6845427
103,16.8247989
104,-0.6291245999999995
105,21.248081600000006
106,16.847022499999994
107,8.667028199999994
108,15.725553899999998
109,21.958844000000003
110,1.5607986999999977
111,14.753923599999993
112,17.709273599999996
113,13.953294600000001
114,20.381893000000005
115,22.8746837
116,21.176492899999996
117,24.808414200000005
118,28.521876600000006
119,26.9189868
120,25.736723500000007
121,5.695717299999995
122,19.977084799999993
123,17.432845300000004
